"mort" "temp" "part"
"116" 84.81 67.16 28.72
"117" 95 81.71 44.4
"118" 83.77 66.2 24.24
"119" 98.26 80.79 37.13
"120" 82.87 84.12 38.01
"121" 85.51 75.52 32.22
"122" 84.67 81.55 32.86
"123" 84.45 75.88 25.83
"124" 93.96 82.45 37.95
"125" 82.47 84.86 36.93
"126" 89.18 84.93 34.03
"127" 87.33 79.73 27.68
"128" 92.67 97.2 52.62
"129" 93.83 85.97 36.51
"130" 86.65 82 33.53
"131" 89.35 81.95 39.94
"132" 77.97 83.56 36.85
"133" 86.06 86.14 38.93
"134" 83.34 77.63 24.55
"135" 87.35 77.19 48.89
"136" 90.58 82.16 48.69
"137" 84.72 78.57 42.71
"138" 88.32 78.92 42.34
"139" 82.62 74.47 50.98
"140" 92.52 71.01 56.67
"141" 86.73 72.2 61.51
"142" 99.54 72.59 73.11
"143" 95.5 65.8 57.48
"144" 92.34 64.16 56.63
"145" 97.49 73.18 67.47
"146" 97.9 74.71 71.64
"147" 97.54 50.91 54.52
"148" 103.78 66.46 74.98
"149" 110.17 75.48 74.95
"150" 116.04 67.78 57.3
"151" 132.04 56.68 71.59
"152" 126.95 70.08 69.8
"153" 121.11 58.58 47.92
"154" 119.3 67.7 63.78
"155" 118.2 63.88 59.76
"156" 102.36 59.07 40.04
"157" 98.44 68.55 47.44
"158" 97.87 68.35 42.77
"159" 92.98 65.6 41.51
"160" 96.16 58.75 31.86
"161" 86.83 65.67 41.68
"162" 91.09 59.85 29.07
"163" 92.5 63.95 30.83
"164" 90.64 77.14 44.48
"165" 80.69 66.59 38.35
"166" 99.91 72.86 30.98
"167" 89.09 67.87 37.46
"168" 94.25 73.61 39.57
"169" 93.33 71.45 40.28
"170" 84.08 69.97 31.64
"171" 86.37 78.49 36.16
"172" 86.61 72.52 26.97
"173" 82.47 84.84 45.76
"174" 82.73 72.97 28.17
"175" 98.29 96.23 47.48
"176" 87.02 81.68 37.47
"177" 91.13 83.17 38.23
"178" 80.23 79.42 30.47
"179" 81.36 78.64 32.5
"180" 82.8 86.44 42.1
"181" 87.24 82.08 33.92
"182" 79.37 80.73 30.54
"183" 86.83 87.68 45.7
"184" 82 81.44 37.03
"185" 77.96 77.34 30.5
"186" 79.69 75.18 33.47
"187" 87.32 75.85 36.95
"188" 85.33 74.24 41.08
"189" 92.02 87.78 56.16
"190" 84.03 69.09 41.31
"191" 83.45 82.08 66.01
"192" 82.35 79.84 56.46
"193" 89.17 82.8 62.06
"194" 82.24 73.56 54.2
"195" 93.35 73.74 73.04
"196" 89.16 63.94 45.54
"197" 95.13 63.08 53.33
"198" 89.1 64.79 67.77
"199" 100.32 75.45 75.61
"200" 95.61 67.12 71.46
"201" 99.61 69.12 63.29
"202" 105.82 61.56 62.04
"203" 104.2 51.22 38.94
"204" 95.45 64.28 63.31
"205" 90.48 65.41 67.74
"206" 93.58 65.45 73.76
"207" 91.71 65.68 70.13
"208" 95.29 72.25 65.87
"209" 94.69 63.18 53.98
"210" 102.5 71.55 52.55
"211" 98.58 67.3 47.86
"212" 107.12 59.64 46.35
"213" 99.29 73.43 63.72
"214" 96.85 61.91 30.78
"215" 89.02 64.85 30.02
"216" 96.27 74.43 38.49
"217" 97.55 74.39 42.06
"218" 85.16 70.8 37.61
"219" 94.77 72.49 40.2
"220" 85.45 70.06 29.69
"221" 97.46 70.25 29.53
"222" 83.31 66.51 25.86
"223" 91.41 83.11 38.95
"224" 88.84 71.29 25.7
"225" 86.44 75.49 27.84
"226" 82.08 80.98 35.82
"227" 83.63 83.52 35.45
"228" 95.22 88.27 42.62
"229" 80.28 77.88 25.63
"230" 85.59 82.23 33.96
"231" 84.68 90.75 42.15
"232" 81.53 86.58 37.38
"233" 89.2 84.8 30.58
"234" 74.51 80.32 23.68
"235" 81.85 80.23 33.1
"236" 81.97 82.88 36.67
"237" 85.01 85 38.6
"238" 86.98 88.96 45.79
"239" 81.67 78.11 33.46
"240" 91.11 85.06 50.93
"241" 83.38 76.39 41.47
"242" 86.18 74.23 28.15
"243" 89.93 76.42 54.62
"244" 91.82 83.68 59.46
"245" 92.27 67.62 35.47
"246" 89.29 64.36 52.77
"247" 85.41 81.7 65.32
"248" 96.78 72.67 66.49
"249" 83.6 73.59 62.46
"250" 98.63 69.09 60.38
"251" 90.86 66.75 72.83
"252" 94.36 70.03 53.78
"253" 97.52 69.53 81.09
"254" 108.68 55.33 44.05
"255" 107.23 63.17 65.68
"256" 107.08 66 45.98
"257" 113.39 80.86 77.13
"258" 105.51 69.57 69.77
"259" 111.9 54.85 51.34
"260" 110.44 64.21 43.97
"261" 95.42 62.12 45.11
"262" 97.78 66.21 49.49
"263" 90.38 69.77 68.46
"264" 86.89 60.84 32.69
"265" 91.59 59.44 35.97
"266" 85.51 65.65 40.71
"267" 88.16 64.09 27.56
"268" 87.03 60.63 38.52
"269" 88.61 60.19 24.95
"270" 96.96 63.92 28.94
"271" 80.03 66.83 27.64
"272" 80.53 69.48 34.4
"273" 76.46 74.17 38.51
"274" 78.85 69.29 27.59
"275" 87.03 70.86 27.26
"276" 82.27 75.34 30.53
"277" 78.92 72.66 28.93
"278" 72.75 74.91 31.07
"279" 77.75 70.17 21.8
"280" 83.79 81.41 39.47
"281" 82.13 82.03 32.09
"282" 76.42 85.76 38.39
"283" 74.58 78.54 24.72
"284" 79.61 84.44 36.54
"285" 76.52 82.87 33.27
"286" 79.27 86.52 42.32
"287" 74.7 77.5 24.6
"288" 75.49 81.72 34.57
"289" 82.82 82.61 42.28
"290" 80.29 83.09 42.04
"291" 80.05 75.74 32.93
"292" 78.64 92.27 55.42
"293" 79.4 86.41 47.8
"294" 71.02 83.03 49.69
"295" 73.55 73.16 32.25
"296" 79.6 78.82 62.39
"297" 85.08 70.51 39.47
"298" 90.14 76.06 71.81
"299" 82.26 71.35 66.09
"300" 86.75 76.99 66.65
"301" 90.11 72.96 87.02
"302" 94.86 66.78 70.08
"303" 89.68 74.69 75.04
"304" 90.16 64.15 57.53
"305" 85.73 67.28 86.54
"306" 96.82 70.73 74.91
"307" 100.37 63.84 65.11
"308" 93.43 68.01 77.79
"309" 94.12 84.19 68.15
"310" 89.26 71.08 56.86
"311" 91.81 81.45 72.82
"312" 97.4 56.52 28.88
"313" 102.71 66.95 46.97
"314" 101.94 68.92 46.06
"315" 97.4 68.9 45.68
"316" 96.12 58.7 34.93
"317" 105.45 68.56 42.69
"318" 94.34 77.03 49.61
"319" 92.51 74.53 34.81
"320" 88.47 65.47 32.69
"321" 85.47 63.42 37.25
"322" 85.7 65.54 30.87
"323" 84.48 72.34 33.85
"324" 85.63 75.18 37.26
"325" 79.67 69.01 30.77
"326" 80.78 81.77 41.64
"327" 74.58 72.28 24.47
"328" 76.32 71.28 27.11
"329" 80.37 75.07 26.35
"330" 83.3 75.16 31.02
"331" 82.98 81.58 31.12
"332" 91.34 97.05 51.07
"333" 78.57 82.14 31.41
"334" 76.68 86.48 38.8
"335" 76.47 76.96 20.25
"336" 73.66 82.26 39.55
"337" 78.61 79.43 24.78
"338" 83.4 81.49 34.29
"339" 71.96 79.63 28.97
"340" 77.17 79.22 23.49
"341" 72.38 89.34 43.61
"342" 79.52 88.24 35.53
"343" 72.05 80.14 37.07
"344" 75.86 73.39 26.8
"345" 74.32 76.39 32.85
"346" 77.7 76.47 32.26
"347" 82.99 91.3 62.64
"348" 77.79 77.99 46.12
"349" 77.42 76.1 39.81
"350" 85.55 78.61 58.6
"351" 85.33 92.59 62.88
"352" 82.16 68.47 55.21
"353" 83.74 81.56 70.06
"354" 84.4 67.83 68.84
"355" 90.32 76.99 72.52
"356" 82.74 73.07 76.28
"357" 91.5 74.46 70.51
"358" 96.23 70.52 82.92
"359" 92.9 61.91 59.98
"360" 92.3 57.1 49.06
"361" 91.76 71.27 73.6
"362" 92.34 71.62 66.53
"363" 78.91 67.98 58.9
"364" 88.06 71.32 73.23
"365" 81.91 79.33 63.09
"366" 79.68 77.07 59.88
"367" 83.2 64.14 38.2
"368" 84.05 70.01 50.47
"369" 85.8 67.66 42.62
"370" 84.39 64.96 43.78
"371" 91.74 64.32 32.37
"372" 90.65 64.39 38.38
"373" 89.67 72.46 38.56
"374" 86.24 69.26 29.4
"375" 91.46 79.96 42.67
"376" 83.3 72.32 26.34
"377" 83.05 65.33 25.97
"378" 74.14 63.72 25.43
"379" 90.12 72.99 31.87
"380" 83.84 70.59 24.29
"381" 79.94 82.12 39.16
"382" 74.65 71.94 25.12
"383" 77.89 77.99 29.09
"384" 78.06 79.02 44.28
"385" 74.96 83.07 30.82
"386" 77.9 81.49 35.48
"387" 73.65 82.91 32
"388" 79.32 87.11 42.21
"389" 82.91 92.02 50.72
"390" 79.48 85.54 35.68
"391" 73.21 84.15 42.33
"392" 76.46 82.93 38.64
"393" 73.76 81.01 31.34
"394" 68.11 82.98 35.67
"395" 76.53 86.47 46.25
"396" 68.46 73.07 28.99
"397" 72.84 78.81 40.95
"398" 79.92 78.61 43.52
"399" 73.26 83.8 55.96
"400" 79.55 80.63 62.68
"401" 77.02 75.79 55.11
"402" 78.39 76.87 58.2
"403" 81.86 75.78 46.54
"404" 88.2 78.31 70.18
"405" 75.69 70.57 63.47
"406" 88.85 83.35 54.2
"407" 82.52 79.17 79.33
"408" 87.44 69.94 84.63
"409" 82.91 66.75 61.3
"410" 92.84 66.62 45.23
"411" 91.85 62.94 49.39
"412" 89.82 64.65 55.44
"413" 96.84 63.45 52.89
"414" 99.56 63.91 49.81
"415" 105.1 69.26 70.13
"416" 95.7 68.55 51.2
"417" 93.46 59.6 33.42
"418" 99.27 68.71 51.38
"419" 90.39 68.35 44.75
"420" 85.85 63.91 29.73
"421" 86.69 64.59 40.61
"422" 92.94 78.16 38.54
"423" 86.63 71.89 33.52
"424" 89.78 68.35 27.99
"425" 83.22 65.57 33.03
"426" 86.04 65.92 28.45
"427" 81.53 71.91 34.62
"428" 77.46 68.16 28.5
"429" 76.63 73.9 36.68
"430" 82.09 83.73 38.51
"431" 81.22 79.38 36.46
"432" 70.96 78.17 31.67
"433" 80.17 77.3 29.37
"434" 78.48 83.43 45.1
"435" 76.8 83.93 37.34
"436" 77.63 87.74 40.83
"437" 74.31 77.66 26.23
"438" 76.3 80.67 41.39
"439" 85.97 91.38 54.79
"440" 73.07 83.42 48.53
"441" 76.29 86.22 49.52
"442" 75.21 86.73 48.24
"443" 79.18 83.13 38.98
"444" 78.25 82.4 48.3
"445" 77.24 81.07 50.38
"446" 81.55 86.72 46.98
"447" 75.46 79.65 37.37
"448" 76.86 73.96 33.96
"449" 88.43 97.15 42
"450" 92.93 91.51 83.31
"451" 77.65 80.58 56.31
"452" 78.74 86.14 80.37
"453" 73.63 77.45 44.22
"454" 82.11 74.57 56.81
"455" 80.81 77.18 65.55
"456" 84.34 65.59 54.19
"457" 83.48 67.1 59
"458" 76.4 62.08 34.21
"459" 92.77 67.25 70.47
"460" 88.09 61.28 45.77
"461" 96.2 68.06 58.69
"462" 100.28 61.26 68.59
"463" 107.58 62.92 69.01
"464" 93.73 64.12 41.98
"465" 87.33 62.73 57.91
"466" 88.11 60.33 40.87
"467" 88.07 58.26 49.12
"468" 100.81 56.32 36.65
"469" 95.52 70.43 97.94
"470" 91.14 61.93 40.38
"471" 85.67 62.81 41.46
"472" 88.24 66.1 52.88
"473" 88.61 76.3 66.78
"474" 85.64 58.65 33.82
"475" 87.29 64.99 36.4
"476" 83.92 66.89 35.32
"477" 89.15 72.41 41.24
"478" 87.61 72.35 37.87
"479" 81.99 71.47 45.54
"480" 84.86 74.14 37.26
"481" 81.17 65.76 35.95
"482" 87.33 83.13 42.48
"483" 86.4 73.7 42.84
"484" 85.9 76.09 34.24
"485" 79.01 69.63 37.36
"486" 83.49 86.79 39.51
"487" 87.88 86.49 54.25
"488" 74.94 78.49 37.89
"489" 80.32 84.7 48.03
"490" 81.75 80.75 43.51
"491" 78.68 84.53 48.69
"492" 74.62 85.34 54.48
"493" 74.16 83.88 49.22
"494" 71.5 84.91 50.34
"495" 75.89 84.63 55.97
"496" 74.89 78.23 35.5
"497" 77.36 86.6 62.81
"498" 73.63 79.98 38.61
"499" 81.17 90.93 63.6
"500" 83.91 93.43 57.53
"501" 82.36 90.16 54.97
"502" 79.74 80.38 47.22
"503" 73.46 82.37 69.14
"504" 79.03 75.35 42.17
"505" 76.56 72.29 45.59
"506" 78.52 75.68 70.72
"507" 89.43 73.33 57.58
"508" 85.49 70.52 62.61
