"Num";"CNTY";"DIFF";"STATUS";"HECTARE";"ToF";"OWNLAND";"AGE";"HARVEST";"r1";"r2";"r3";"r4";"r5";"r6";"r7";"r8";"r11";"r12";"r14";"r17";"r18";"r19";"r21";"r22";"r24";"r28";"r30";"r32";"r36";"r37"
23;27;1;1;73;3;0;35;88;0,5;0,53;0,11;0,05;0,45;0,98;0,87;0,11;0,73;1,1;0,13;0,06;0,06;0,14;0,17;0,42;0,17;0,33;0,19;0,28;1,11;0,51
24;27;1;1;36;3;1;28;88;0,8;0,24;0,21;0,16;0,64;1,69;1,24;0,35;0,15;0,29;0,7;0,05;0,09;0,22;0,18;0,44;0,24;0,48;0,28;0,41;1,61;0,48
25;27;1;1;78;3;1;35;88;0,24;0,77;0,09;0,02;0,23;0,64;0,6;0,05;0,89;1,48;0,07;0,09;0,06;0,12;0,13;0,27;0,17;0,46;0,33;0,4;1,4;0,38
26;27;1;1;94;1;1;35;88;0,74;0,31;0,21;0,16;0,59;1,42;1,12;0,3;0,47;0,93;0,39;0,09;0,13;0,24;0,26;0,49;0,26;0,48;0,25;0,36;1,14;0,52
27;27;1;0;97;4;0;48;88;0,68;0,39;0,24;0,16;0,52;0,82;0,63;0,2;0,36;0,51;0,35;0,04;0,03;0,1;0,11;0,32;0,25;0,3;0,2;0,27;0,66;0,82
28;27;1;0;91;3;0;52;88;0,47;0,59;0,21;0,1;0,37;0,62;0,49;0,13;0,36;0,58;0,27;0,07;0,04;0,15;0,11;0,38;0,29;0,38;0,24;0,34;0,84;0,75
29;27;1;1;101;1;1;45;88;0,17;0,95;0,79;0,14;0,04;0,2;0,07;0,16;0,79;1,36;0,17;0,03;0,01;0,05;0,02;0,11;0,36;0,42;0,38;0,42;0,35;0,84
30;27;1;1;65;3;1;37;88;0,48;0,63;0,35;0,17;0,31;0,9;0,59;0,32;0,41;0,58;0,43;0,06;0,05;0,1;0,17;0,33;0,15;0,29;0,2;0,24;1,16;0,53
31;27;1;1;101;1;1;42;88;0,25;0,82;0,34;0,08;0,16;0,39;0,26;0,13;0,89;1,48;0,1;0,04;0,02;0,1;0,05;0,29;0,21;0,33;0,24;0,32;0,35;0,63
32;27;1;0;61;3;1;31;88;0,26;0,83;0,41;0,11;0,15;0,36;0,21;0,15;0,14;0,24;0,51;0,05;0,02;0,08;0,05;0,19;0,29;0,4;0,32;0,38;1,09;0,72
33;27;1;1;102;3;1;49;88;0,41;0,65;0,21;0,09;0,32;0,79;0,62;0,17;0,83;1,48;0,17;0,05;0,04;0,11;0,09;0,26;0,23;0,44;0,33;0,4;0,93;0,52
34;27;1;1;110;1;0;45;88;0,5;0,65;0,48;0,24;0,26;0,69;0,36;0,33;0,32;0,51;0,51;0,09;0,06;0,19;0,17;0,51;0,28;0,38;0,18;0,31;0,72;0,73
35;27;1;1;62;3;1;44;88;0,47;0,68;0,47;0,22;0,25;0,95;0,5;0,45;0,73;1,07;0,38;0,03;0,03;0,06;0,09;0,19;0,16;0,32;0,25;0,29;0,85;0,49
36;27;1;1;117;1;1;45;88;0,4;0,68;0,29;0,12;0,29;0,9;0,64;0,26;0,66;1,3;0,28;0,04;0,04;0,1;0,08;0,19;0,22;0,48;0,38;0,43;1,32;0,45
37;27;1;1;91;3;1;40;88;0,32;0,7;0,09;0,02;0,3;0,85;0,79;0,06;0,79;1,48;0,07;0,08;0,07;0,2;0,14;0,4;0,19;0,48;0,3;0,43;1,83;0,37
38;27;1;1;119;1;1;32;88;0,5;0,58;0,29;0,15;0,36;0,61;0,43;0,18;0,48;0,8;0,27;0,08;0,05;0,18;0,13;0,46;0,33;0,4;0,21;0,34;0,55;0,82
39;27;1;1;133;4;1;49;88;0,44;0,72;0,52;0,23;0,21;0,55;0,26;0,29;0,43;0,66;0,4;0,09;0,05;0,13;0,14;0,36;0,28;0,35;0,22;0,3;0,53;0,81
40;27;1;1;116;3;1;42;88;0,42;0,59;0,09;0,03;0,4;1,15;1,08;0,07;0,37;0,66;0,16;0,07;0,08;0,2;0,17;0,44;0,16;0,44;0,25;0,36;2,15;0,37
41;27;1;1;90;3;1;49;88;0,15;0,9;0,36;0,05;0,09;0,27;0,17;0,1;0,51;0,74;0,16;0,07;0,02;0,07;0,06;0,23;0,17;0,31;0,24;0,29;1,22;0,55
42;27;1;0;92;3;0;35;88;0,54;0,47;0,09;0,03;0,51;0,97;0,91;0,06;0,12;0,18;0,32;0,02;0,02;0,07;0,08;0,24;0,17;0,3;0,23;0,27;1,61;0,56
43;27;1;1;92;3;1;51;88;0,22;0,83;0,31;0,07;0,16;0,76;0,53;0,23;0,35;0,56;0,4;0,09;0,06;0,18;0,18;0,49;0,11;0,37;0,19;0,31;2,15;0,36
44;27;1;1;144;1;1;32;88;0,46;0,59;0,16;0,07;0,38;1,06;0,89;0,17;0,77;1,29;0,18;0,08;0,08;0,17;0,2;0,43;0,17;0,4;0,23;0,32;1,39;0,43
45;27;1;1;159;1;1;49;88;0,37;0,68;0,2;0,08;0,3;0,66;0,53;0,13;0,63;0,96;0,18;0,02;0,01;0,05;0,02;0,14;0,19;0,34;0,29;0,34;1,01;0,56
46;27;1;1;131;1;1;58;88;0,5;0,64;0,45;0,22;0,28;0,91;0,5;0,41;0,54;0,89;0,43;0,06;0,05;0,17;0,13;0,43;0,22;0,39;0,22;0,34;0,86;0,55
47;27;1;1;0;4;0;49;88;0,57;0,45;0,09;0,05;0,52;0,57;0,52;0,05;0,26;0,33;0,17;0,08;0,05;0,11;0,22;0,48;0,22;0,22;0,11;0,17;0,69;1
48;27;1;0;106;3;1;43;88;0,18;0,86;0,26;0,05;0,13;0,42;0,31;0,11;0,75;1,48;0,12;0,04;0,02;0,07;0,03;0,13;0,21;0,48;0,38;0,43;1,52;0,42
49;27;1;1;122;3;1;43;88;0,36;0,72;0,3;0,11;0,25;0,53;0,37;0,16;0,44;0,75;0,27;0,09;0,05;0,1;0,11;0,25;0,28;0,42;0,31;0,37;0,9;0,67
50;27;1;1;60;3;1;45;88;0,26;0,76;0,12;0,03;0,23;0,6;0,53;0,07;0,31;0,51;0,19;0,05;0,03;0,1;0,08;0,25;0,17;0,39;0,3;0,36;1,91;0,44
51;27;1;1;88;3;1;52;88;0,13;0,93;0,49;0,07;0,07;0,26;0,13;0,13;0,25;0,43;0,34;0,06;0,02;0,08;0,04;0,19;0,21;0,42;0,34;0,4;1,56;0,52
52;27;1;0;100;3;1;48;88;0,41;0,62;0,12;0,05;0,36;0,74;0,66;0,09;0,67;1,24;0,11;0,03;0,02;0,05;0,05;0,11;0,26;0,46;0,38;0,43;1,06;0,55
53;27;1;1;181;3;1;37;88;0,38;0,7;0,3;0,12;0,27;0,73;0,51;0,22;0,72;1,09;0,23;0,07;0,05;0,12;0,15;0,33;0,18;0,34;0,23;0,29;0,97;0,53
54;27;1;1;84;3;1;49;88;0,12;0,93;0,24;0,02;0,07;0,22;0,17;0,05;0,81;1,02;0,07;0,08;0,02;0,03;0,08;0,13;0,09;0,21;0,18;0,19;1,39;0,44
55;27;1;1;138;3;1;45;88;0,28;0,78;0,27;0,07;0,2;0,57;0,42;0,15;0,66;0,97;0,19;0,04;0,02;0,08;0,07;0,24;0,16;0,32;0,24;0,3;1,26;0,48
56;27;1;0;123;4;1;48;88;0,54;0,48;0,09;0,05;0,5;0,84;0,77;0,07;0,55;0,88;0,12;0,07;0,06;0,15;0,16;0,4;0,24;0,38;0,23;0,32;0,93;0,65
57;27;1;0;76;3;0;47;88;0,28;0,74;0,11;0,03;0,25;0,46;0,41;0,05;0,5;0,77;0,09;0,08;0,04;0,08;0,1;0,23;0,21;0,35;0,26;0,31;1,08;0,61
58;27;1;1;79;3;1;40;88;0,31;0,74;0,21;0,07;0,24;0,65;0,51;0,14;0,44;0,65;0,24;0,07;0,05;0,13;0,15;0,4;0,15;0,32;0,19;0,27;1,53;0,47
59;27;1;1;102;1;1;35;88;0,63;0,39;0,09;0,04;0,58;1,71;1,24;0,12;0,54;1,06;0,18;0,09;0,15;0,23;0,34;0,46;0,17;0,48;0,27;0,33;2,15;0,36
60;27;2;1;90;3;0;41;88;0,63;0,47;0,35;0,22;0,41;0,92;0,6;0,32;0,29;0,42;0,53;0,08;0,08;0,23;0,25;0,75;0,21;0,31;0,08;0,23;0,84;0,69
61;27;2;1;89;1;1;43;88;0,44;0,72;0,5;0,22;0,22;1,33;0,66;0,67;-0,1;-0,16;1,17;0,11;0,15;0,33;0,49;0,83;0,13;0,4;0,07;0,2;2,15;0,36
62;27;2;1;31;1;0;30;88;0,59;0,44;0,13;0,07;0,52;0,84;0,74;0,11;0,46;0,69;0,19;0,06;0,05;0,12;0,14;0,35;0,23;0,34;0,22;0,29;0,86;0,7
63;27;2;1;77;3;1;40;88;0,91;0,16;0,47;0,42;0,49;1,71;1,06;0,88;-0,34;-0,44;1,99;0,06;0,11;0,27;0,59;1,43;0,09;0,19;-0,08;0,08;1,74;0,46
64;27;2;1;76;1;1;39;88;0,8;0,36;0,54;0,43;0,37;1,5;0,69;0,81;-0,22;-0,29;1,36;0,08;0,12;0,31;0,44;1,14;0,14;0,27;-0,04;0,15;1,28;0,53
65;27;2;1;24;4;1;37;88;0,6;0,41;0,09;0,02;0,58;1,71;1,24;0,07;0,53;1,09;0,11;0,07;0,14;0,21;0,27;0,41;0,16;0,48;0,3;0,37;2,15;0,36
66;27;2;1;53;3;0;27;88;0,6;0,53;0,41;0,24;0,35;1,3;0,77;0,52;0,36;0,47;0,59;0,06;0,08;0,16;0,33;0,69;0,11;0,23;0,07;0,15;1,29;0,46
67;27;2;1;77;3;1;31;88;0,84;0,2;0,26;0,22;0,62;1,1;0,82;0,28;0;-0,01;1,01;0,08;0,09;0,18;0,3;0,62;0,22;0,29;0,11;0,2;1,03;0,76
68;27;2;1;118;3;1;47;88;0,69;0,39;0,29;0,2;0,49;1,35;0,96;0,4;0,16;0,22;0,72;0,08;0,1;0,26;0,36;0,9;0,15;0,29;0,03;0,18;1,42;0,51
69;27;2;1;73;3;1;43;88;0,42;0,62;0,15;0,06;0,36;1,08;0,92;0,16;0,46;0,72;0,26;0,07;0,07;0,18;0,2;0,51;0,14;0,36;0,18;0,29;1,94;0,39
70;27;2;1;111;3;1;40;88;0,53;0,54;0,22;0,12;0,41;1,13;0,88;0,25;0,48;0,7;0,34;0,07;0,08;0,17;0,27;0,55;0,15;0,31;0,14;0,23;1,41;0,47
71;27;2;1;120;1;1;59;88;0,53;0,58;0,34;0,18;0,35;1,47;0,96;0,5;0,25;0,51;0,67;0,08;0,12;0,3;0,23;0,58;0,18;0,48;0,22;0,4;2,05;0,36
72;27;2;1;57;3;0;44;88;0,58;0,52;0,33;0,19;0,39;0,99;0,66;0,33;0,3;0,43;0,52;0,07;0,07;0,19;0,22;0,65;0,17;0,3;0,1;0,23;1,08;0,59
73;27;2;1;80;2;1;31;88;0,56;0,51;0,25;0,14;0,42;1,71;1,24;0,5;0,89;1,26;0,32;0,05;0,1;0,23;0,65;1,44;0,08;0,16;-0,07;0,06;1,98;0,36
74;27;2;1;50;3;0;37;88;0,78;0,43;0,62;0,49;0,3;1,17;0,44;0,73;-0,34;-0,44;1,99;0,09;0,1;0,19;0,35;0,64;0,19;0,29;0,11;0,19;1,21;0,67
75;27;2;1;68;3;1;45;88;0,5;0,53;0,12;0,06;0,44;0,93;0,82;0,11;0,39;0,72;0,22;0,06;0,06;0,15;0,12;0,32;0,25;0,46;0,32;0,4;1,36;0,54
76;27;2;1;54;3;1;62;88;0,45;0,62;0,23;0,1;0,35;1,34;1,03;0,31;0,49;0,64;0,39;0,11;0,14;0,33;0,63;1,54;0,08;0,23;-0,09;0,08;2,15;0,36
77;27;2;1;123;3;1;52;88;0,38;0,89;0,79;0,3;0,08;0,57;0,12;0,45;0,2;0,31;0,69;0,11;0,08;0,17;0,25;0,5;0,23;0,34;0,17;0,26;0,85;0,67
78;27;2;1;94;1;0;33;88;1,08;0;0,51;0,67;0,65;0,87;0,42;0,45;-0,19;-0,27;1,74;0,08;0,07;0,17;0,23;0,57;0,37;0,29;0,12;0,22;0,35;1,1
79;27;2;1;73;3;1;61;88;0,65;0,57;0,59;0,39;0,26;0,98;0,4;0,58;0,12;0,19;0,83;0,08;0,08;0,2;0,22;0,55;0,24;0,37;0,17;0,29;0,81;0,66
80;27;2;1;17;4;1;53;88;0,99;0,02;0,61;0,61;0,38;1,28;0,5;0,78;-0,09;-0,11;1,13;0,07;0,08;0,13;0,43;0,69;0,15;0,19;0,06;0,11;0,6;0,78
81;27;2;1;50;4;0;34;88;0,83;0,18;0,09;0,08;0,65;1,59;1,24;0,14;0,56;1,07;0,2;0,04;0,07;0,16;0,15;0,33;0,25;0,48;0,32;0,4;1,2;0,52
82;27;2;1;106;4;1;40;88;0,78;0,3;0,36;0,28;0,5;1,18;0,76;0,42;-0,1;-0,16;1,33;0,11;0,15;0,26;0,45;0,76;0,23;0,34;0,08;0,19;1,19;0,67
83;27;2;0;68;2;0;43;88;0,48;0,66;0,45;0,22;0,27;1,24;0,69;0,55;-0,06;-0,1;1,13;0,04;0,05;0,13;0,15;0,39;0,13;0,34;0,21;0,29;2,07;0,39
84;27;2;0;98;3;0;42;88;0,41;0,88;0,79;0,33;0,08;0,65;0,13;0,53;-0,12;-0,18;1,28;0,06;0,04;0,07;0,11;0,2;0,23;0,36;0,29;0,32;1,18;0,63
85;27;2;0;112;1;0;42;88;0,72;0,9;0,79;0,67;0,04;0,45;0,07;0,43;0,1;0,18;0,81;0,08;0,04;0,17;0,09;0,39;0,37;0,44;0,26;0,4;0,35;1,1
86;27;2;0;95;3;1;44;88;0,66;0,48;0,45;0,3;0,36;1,49;0,82;0,67;0,38;0,5;0,64;0,05;0,08;0,2;0,32;0,8;0,11;0,25;0,05;0,17;1,21;0,44
87;27;2;0;125;3;0;38;88;0,81;0,4;0,65;0,53;0,29;1,12;0,39;0,73;-0,18;-0,25;1,33;0,07;0,08;0,19;0,27;0,68;0,21;0,28;0,09;0,21;0,84;0,72
88;27;2;0;199;1;1;47;88;0,76;0,33;0,36;0,28;0,49;0,55;0,35;0,2;0,21;0,3;0,49;0,11;0,07;0,14;0,22;0,46;0,37;0,31;0,17;0,24;0,35;1,1
89;27;2;0;67;3;0;50;88;0,43;0,67;0,34;0,15;0,28;0,72;0,47;0,25;0,19;0,26;0,56;0,1;0,07;0,17;0,26;0,64;0,16;0,27;0,1;0,2;1,22;0,6
90;27;2;1;102;3;1;30;88;0,77;0,36;0,45;0,35;0,42;1,71;1,09;0,88;0,89;1,48;0,49;0,04;0,09;0,21;0,24;0,58;0,14;0,37;0,16;0,28;0,74;0,39
91;27;2;1;70;4;1;43;88;0,66;0,53;0,54;0,36;0,3;1,14;0,53;0,62;0,12;0,17;0,84;0,08;0,09;0,19;0,27;0,58;0,19;0,33;0,14;0,24;1;0,58
92;27;2;1;86;1;1;37;88;1,08;0;0,38;0,47;0,65;1,71;1,24;0,76;-0,04;-0,07;1,06;0,06;0,12;0,25;0,29;0,63;0,24;0,4;0,15;0,28;0,91;0,61
93;27;2;1;82;1;1;36;88;0,8;0,24;0,2;0,16;0,64;1,64;1,24;0,32;0,12;0,16;0,73;0,1;0,15;0,32;0,65;1,35;0,12;0,24;-0,08;0,08;1,6;0,49
94;27;2;1;93;1;1;36;88;0,84;0,19;0,13;0,11;0,65;1,08;0,94;0,14;0,25;0,47;0,37;0,1;0,1;0,23;0,22;0,48;0,36;0,47;0,24;0,37;0,91;0,77
95;27;2;1;109;3;0;40;88;0,7;0,38;0,3;0,21;0,49;1,25;0,88;0,38;0,12;0,17;0,77;0,11;0,15;0,32;0,52;0,99;0,18;0,33;0;0,16;1,29;0,56
96;27;2;1;53;3;1;38;88;1,08;0;0,51;0,67;0,65;1,32;0,64;0,68;-0,34;-0,44;1,99;0,1;0,13;0,3;0,33;0,75;0,37;0,4;0,1;0,27;0,59;1,07
97;27;2;1;99;1;0;45;88;1,08;0;0,46;0,56;0,65;0,89;0,48;0,41;-0,1;-0,15;1,32;0,09;0,08;0,19;0,24;0,57;0,37;0,34;0,15;0,26;0,42;1,1
98;27;2;1;72;3;1;31;88;0,93;0,09;0,28;0,26;0,65;1,31;0,95;0,36;0,27;0,31;0,58;0,09;0,12;0,21;0,65;1,54;0,1;0,16;-0,07;0,06;0,78;0,71
99;27;2;1;70;3;1;56;88;0,46;0,59;0,21;0,1;0,37;1,04;0,82;0,22;0,3;0,44;0,42;0,11;0,12;0,21;0,36;0,66;0,14;0,32;0,11;0,21;1,73;0,45
100;27;2;1;115;3;0;53;88;0,54;0,68;0,59;0,32;0,22;1,01;0,41;0,6;-0,18;-0,25;1,42;0,09;0,09;0,15;0,32;0,51;0,16;0,29;0,14;0,2;1,45;0,53
101;27;2;1;72;3;1;36;88;0,65;0,39;0,15;0,1;0,55;1,68;1,24;0,25;0,18;0,23;0,58;0,06;0,09;0,2;0,44;0,95;0,08;0,21;0,01;0,12;2,15;0,39
102;27;2;1;86;1;1;32;88;0,46;0,55;0,09;0,02;0,44;0,89;0,85;0,05;0,45;0,74;0,09;0,06;0,06;0,22;0,14;0,55;0,21;0,4;0,18;0,34;1,43;0,52
103;27;2;1;53;3;1;35;88;0,52;0,51;0,11;0,06;0,46;1,45;1,24;0,16;0,49;0,64;0,24;0,06;0,09;0,21;0,41;0,95;0,08;0,23;0,01;0,13;2,14;0,36
104;27;2;1;61;1;1;37;88;0,77;0,28;0,22;0,17;0,6;1,71;1,24;0,56;0,1;0,1;0,84;0,09;0,15;0,33;0,65;1,54;0,08;0,16;-0,09;0,06;2,15;0,36
105;27;2;1;55;3;1;50;88;0,61;0,47;0,25;0,15;0,45;1,69;1,24;0,43;0,34;0,43;0,55;0,04;0,07;0,22;0,37;1,09;0,08;0,2;-0,02;0,13;2,01;0,36
106;27;2;1;64;3;1;30;88;0,67;0,39;0,21;0,14;0,53;1,45;1,15;0,3;0,21;0,3;0,59;0,07;0,11;0,22;0,34;0,7;0,14;0,31;0,09;0,2;1,67;0,46
107;27;2;1;60;3;1;42;88;0,29;0,73;0,09;0,02;0,27;0,58;0,54;0,05;0,49;0,72;0,08;0,09;0,05;0,14;0,17;0,44;0,16;0,32;0,18;0,27;1,5;0,49
108;27;2;1;87;3;1;34;88;0,52;0,5;0,09;0,04;0,48;1,1;1,01;0,09;0,62;0,84;0,13;0,05;0,06;0,14;0,22;0,55;0,13;0,26;0,12;0,2;1,38;0,48
109;27;2;1;130;3;1;38;88;0,8;0,31;0,42;0,33;0,47;1,22;0,72;0,51;-0,19;-0,32;1,61;0,1;0,12;0,27;0,3;0,66;0,26;0,41;0,14;0,28;1,22;0,65
110;27;2;1;66;3;0;44;88;0,95;0,09;0,38;0,36;0,58;0,98;0,6;0,38;0,03;0,05;0,92;0,07;0,07;0,16;0,19;0,46;0,34;0,35;0,19;0,29;0,63;0,97
111;27;2;0;245;1;0;49;88;1,08;0;0,49;0,59;0,6;1,71;1,07;0,88;-0,34;-0,44;1,62;0,05;0,11;0,32;0,28;0,81;0,22;0,39;0,07;0,28;1,15;0,56
112;27;2;1;112;1;1;46;88;0,82;0,23;0,27;0,22;0,6;1,71;1,24;0,51;-0,12;-0,17;1,33;0,1;0,15;0,3;0,65;1,2;0,11;0,25;-0,05;0,06;1,95;0,43
113;27;2;1;64;3;0;54;88;0,5;0,7;0,58;0,29;0,21;0,96;0,4;0,56;0,21;0,28;0,73;0,1;0,1;0,14;0,37;0,53;0,14;0,27;0,13;0,17;1,15;0,52
114;27;2;1;69;3;1;50;88;0,84;0,2;0,22;0,19;0,65;1,71;1,24;0,38;0,2;0,26;0,65;0,06;0,11;0,2;0,48;0,91;0,11;0,22;0,02;0,12;1,47;0,49
115;27;2;1;108;3;1;48;88;0,69;0,43;0,41;0,28;0,41;1,53;0,91;0,62;0,17;0,22;0,79;0,11;0,15;0,33;0,65;1,32;0,11;0,25;-0,08;0,06;1,43;0,45
116;27;2;1;101;3;0;36;88;0,5;0,7;0,57;0,28;0,22;0,78;0,34;0,44;-0,01;-0,02;1,03;0,09;0,07;0,2;0,35;1;0,13;0,2;0;0,13;1,14;0,64
117;27;1;1;166;1;1;35;89;0,27;0,76;0,12;0,03;0,24;0,42;0,37;0,05;0,67;1,09;0,07;0,11;0,06;0,31;0,15;0,82;0,24;0,38;0,07;0,32;0,84;0,64
118;27;1;1;101;1;0;35;89;0,47;0,6;0,23;0,11;0,36;0,55;0,42;0,13;0,69;1,07;0,16;0,06;0,03;0,2;0,09;0,57;0,3;0,35;0,15;0,32;0,35;0,85
119;27;1;1;138;3;1;42;89;0,53;0,55;0,28;0,14;0,38;1,37;0,99;0,38;0,29;0,44;0,56;0,03;0,05;0,12;0,13;0,36;0,13;0,34;0,21;0,29;1,92;0,39
120;27;1;1;166;1;1;50;89;0,46;0,61;0,24;0,11;0,35;1,17;0,88;0,28;0,48;0,72;0,37;0,07;0,09;0,22;0,26;0,64;0,13;0,34;0,12;0,25;1,78;0,39
121;27;1;0;137;4;1;33;89;0,7;0,36;0,26;0,18;0,52;1,71;1,24;0,5;0,68;1,26;0,42;0,03;0,06;0,33;0,12;0,86;0,17;0,46;0,06;0,4;1,56;0,37
122;27;1;1;107;1;1;45;89;0,36;0,7;0,23;0,08;0,28;0,88;0,68;0,2;0,72;1,22;0,22;0,05;0,04;0,13;0,1;0,33;0,17;0,41;0,27;0,37;1,52;0,41
123;27;1;1;100;1;0;34;89;0,67;0,38;0,19;0,13;0,54;0,75;0,61;0,15;0,61;0,97;0,19;0,06;0,05;0,19;0,13;0,52;0,33;0,37;0,17;0,32;0,36;0,89
124;27;1;1;69;1;1;30;89;0,6;0,42;0,09;0,03;0,56;1,11;1,05;0,06;0,76;1,17;0,08;0,05;0,06;0,14;0,17;0,4;0,19;0,35;0,21;0,29;1,03;0,54
125;27;1;1;176;1;1;44;89;0,12;0,91;0,31;0,04;0,08;0,45;0,31;0,14;0,89;1,48;0,13;0,09;0,04;0,17;0,1;0,42;0,11;0,41;0,24;0,37;2,15;0,36
126;27;1;0;177;1;1;39;89;0,43;0,75;0,55;0,23;0,19;1,28;0,58;0,7;0,26;0,36;0,73;0,06;0,08;0,19;0,27;0,66;0,09;0,28;0,1;0,21;2,03;0,36
127;27;1;1;108;1;1;40;89;0,3;0,76;0,27;0,08;0,22;0,72;0,53;0,2;0,53;1;0,27;0,1;0,08;0,2;0,16;0,43;0,2;0,47;0,27;0,39;1,65;0,42
128;27;1;1;123;3;1;40;89;0,49;0,68;0,49;0,24;0,25;0,75;0,38;0,37;0,2;0,31;0,64;0,05;0,04;0,08;0,11;0,24;0,22;0,34;0,26;0,3;0,96;0,65
129;27;1;1;87;3;1;40;89;0,17;0,83;0,09;0,02;0,17;0,43;0,42;0,05;0,89;1,48;0,07;0,05;0,02;0,11;0,05;0,26;0,17;0,43;0,32;0,41;1,45;0,4
